Date : 2023-05-16 07:39:58
Directory : c:\Users\viliu\Desktop\recipdo_app
Total : 95 files,  24118 codes, 85 comments, 735 blanks, all 24938 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\RecipeCardMediumSafeFoodList.js       | JavaScript |         26 |          0 |          4 |         30 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\recipeCardMediumSafeFood.style.js     | JavaScript |         82 |          0 |          3 |         85 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\recipeCardMediumSafeFoodList.style.js | JavaScript |         12 |          0 |          3 |         15 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\RecipeCardMedium.js                           | JavaScript |         40 |          0 |          4 |         44 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\RecipeCardMediumList.js                       | JavaScript |         26 |          0 |          4 |         30 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\recipeCardMedium.style.js                     | JavaScript |         75 |          0 |          3 |         78 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\recipeCardMediumList.style.js                 | JavaScript |         12 |          0 |          3 |         15 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\dropdown\profileDropdown\ProfileDropdown.js                          | JavaScript |         98 |          0 |          9 |        107 |
| c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\login\Login.js                                       | JavaScript |         69 |          1 |          5 |         75 |
| c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\login\login.style.js                                 | JavaScript |         84 |          0 |          4 |         88 |
| c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\register\Register.js                                 | JavaScript |        137 |          0 |          5 |        142 |
| c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\register\register.style.js                           | JavaScript |         85 |          0 |          4 |         89 |
| c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\start\Start.js                                       | JavaScript |         30 |          1 |          4 |         35 |
| c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\start\start.style.js                                 | JavaScript |         79 |          0 |          4 |         83 |
| c:\Users\viliu\Desktop\recipdo_app\config\firebase\config.js                                                              | JavaScript |         19 |          1 |          4 |         24 |
| c:\Users\viliu\Desktop\recipdo_app\constants\icons.js                                                                     | JavaScript |         24 |          0 |          2 |         26 |
| c:\Users\viliu\Desktop\recipdo_app\constants\images.js                                                                    | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\viliu\Desktop\recipdo_app\constants\index.js                                                                     | JavaScript |          4 |          0 |          2 |          6 |
| c:\Users\viliu\Desktop\recipdo_app\constants\theme.js                                                                     | JavaScript |         84 |          0 |          9 |         93 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\clover.xml                                                                    | XML        |        203 |          0 |          1 |        204 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\coverage-final.json                                                           | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\base.css                                                          | CSS        |        203 |          9 |         13 |        225 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\block-navigation.js                                               | JavaScript |         66 |          7 |         15 |         88 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\config\firebase\config.js.html                                    | HTML       |        140 |          0 |         14 |        154 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\config\firebase\index.html                                        | HTML       |        102 |          0 |         14 |        116 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\RecipeFunctions.js.html                                 | HTML       |        857 |          0 |         14 |        871 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\SearchFunctions.js.html                                 | HTML       |        311 |          0 |         14 |        325 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\StatisticsFunctions.js.html                             | HTML       |        251 |          0 |         14 |        265 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\index.html                                              | HTML       |        130 |          0 |         16 |        146 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\index.html                                                        | HTML       |        116 |          0 |         15 |        131 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\prettify.css                                                      | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\prettify.js                                                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\sorter.js                                                         | JavaScript |        165 |         17 |         15 |        197 |
| c:\Users\viliu\Desktop\recipdo_app\firebase.json                                                                          | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\viliu\Desktop\recipdo_app\functions\ProductFunctions.js                                                          | JavaScript |         68 |          0 |         10 |         78 |
| c:\Users\viliu\Desktop\recipdo_app\functions\RecipeDetailsFunctions.js                                                    | JavaScript |        332 |          5 |         54 |        391 |
| c:\Users\viliu\Desktop\recipdo_app\functions\RecipeFunctions.js                                                           | JavaScript |        221 |          5 |         37 |        263 |
| c:\Users\viliu\Desktop\recipdo_app\functions\SearchFunctions.js                                                           | JavaScript |         73 |          0 |          8 |         81 |
| c:\Users\viliu\Desktop\recipdo_app\functions\StatisticsFunctions.js                                                       | JavaScript |         46 |          1 |         14 |         61 |
| c:\Users\viliu\Desktop\recipdo_app\functions\UserFunctions.js                                                             | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\viliu\Desktop\recipdo_app\functions\package-lock.json                                                            | JSON       |      2,167 |          0 |          1 |      2,168 |
| c:\Users\viliu\Desktop\recipdo_app\functions\package.json                                                                 | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\viliu\Desktop\recipdo_app\functions\search.test.js                                                               | JavaScript |         77 |         12 |         20 |        109 |
| c:\Users\viliu\Desktop\recipdo_app\functions\statistics.test.js                                                           | JavaScript |         74 |          0 |         20 |         94 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\AddProductStackNavigator.js                                                 | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\AppNavigator.js                                                             | JavaScript |         23 |          0 |          5 |         28 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\AuthNavigator.js                                                            | JavaScript |         20 |          0 |          4 |         24 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\MainAppNavigator.js                                                         | JavaScript |         49 |          0 |          7 |         56 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\MainStackNavigator.js                                                       | JavaScript |         21 |          0 |          4 |         25 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\PantryStackNavigator.js                                                     | JavaScript |         21 |          0 |          4 |         25 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\SavedRecipesStackNavigator.js                                               | JavaScript |         17 |          0 |          5 |         22 |
| c:\Users\viliu\Desktop\recipdo_app\navigation\SearchStackNavigator.js                                                     | JavaScript |         17 |          0 |          5 |         22 |
| c:\Users\viliu\Desktop\recipdo_app\newman\SpoonacularAPI_tests.json                                                       | JSON       |        383 |          0 |          0 |        383 |
| c:\Users\viliu\Desktop\recipdo_app\package-lock.json                                                                      | JSON       |     12,430 |          0 |          1 |     12,431 |
| c:\Users\viliu\Desktop\recipdo_app\package.json                                                                           | JSON       |         59 |          0 |          1 |         60 |
| Total                                                                                                                     |            |     24,118 |         85 |        735 |     24,938 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
